date,ticker,type,price,shares,cash,portfolio_value
2023-11-21T00:00:00,CMCSA,BUY,40.27439498901367,75.0,27585.16195678711,97783.43242263794
2023-11-22T00:00:00,CMCSA,BUY,40.160945892333984,68.0,24854.2176361084,97585.69064712524
2023-11-23T00:00:00,CMCSA,BUY,40.160945892333984,61.0,22404.399936676025,97585.69064712524
2023-11-24T00:00:00,CMCSA,BUY,40.25548553466797,55.0,20190.348232269287,97762.66885757446
2023-11-27T00:00:00,CMCSA,BUY,39.79222869873047,50.0,18200.736797332764,96869.9729347229
2023-11-28T00:00:00,CMCSA,BUY,39.58424377441406,45.0,16419.44582748413,96458.78673934937
2023-11-29T00:00:00,CMCSA,BUY,39.35734939575195,41.0,14805.7945022583,96000.00630569458
2023-11-30T00:00:00,CMCSA,SELL,39.6031494140625,2063.0,96507.09174346924,178208.38898468018
2023-12-08T00:00:00,CMCSA,BUY,39.80168533325195,242.0,86875.08389282227,96507.09174346924
2023-12-11T00:00:00,CMCSA,SELL,40.33111572265625,242.0,96635.21389770508,106395.34390258789
2023-12-12T00:00:00,CMCSA,BUY,40.34056854248047,239.0,86993.81801605225,96635.21389770508
2023-12-13T00:00:00,CMCSA,BUY,41.28596878051758,210.0,78323.76457214355,96861.16455459595
2023-12-14T00:00:00,CMCSA,BUY,42.20302200317383,185.0,70516.2055015564,97272.9214515686
2023-12-15T00:00:00,CMCSA,BUY,42.051761627197266,167.0,63493.56130981445,97177.02237319946
2023-12-18T00:00:00,CMCSA,BUY,42.25974655151367,150.0,57154.5993270874,97343.6182975769
2023-12-19T00:00:00,CMCSA,BUY,42.25974655151367,135.0,51449.53354263306,97343.6182975769
2023-12-20T00:00:00,CMCSA,BUY,41.787044525146484,123.0,46309.72706604004,96830.26389694214
2023-12-21T00:00:00,CMCSA,BUY,41.61687469482422,111.0,41690.25397491455,96624.52857208252
2023-12-22T00:00:00,CMCSA,BUY,41.59796905517578,100.0,37530.45706939697,96599.57312774658
2023-12-25T00:00:00,CMCSA,BUY,41.59796905517578,90.0,33786.63985443115,96599.57312774658
2023-12-26T00:00:00,CMCSA,BUY,41.53178405761719,81.0,30422.56534576416,96499.6337814331
2023-12-27T00:00:00,CMCSA,BUY,41.58850860595703,73.0,27386.604217529297,96589.8825378418
2023-12-28T00:00:00,CMCSA,BUY,41.71141052246094,65.0,24675.362533569336,96794.3913269043
2023-12-29T00:00:00,CMCSA,BUY,41.456146240234375,59.0,22229.449905395508,96353.03938293457
